@relation InstanceResultListener

@attribute Key_Dataset {'test_1_new-weka.filters.unsupervised.attribute.Remove-R2-4,6-9,11-12,14-22,24,26-29,31-33,35-36-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last','test_1_new-weka.filters.unsupervised.attribute.Remove-R2-4,6-9,11-12,14-22,24,26-29,31-33,35-36'}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.LibSVM}
@attribute Key_Scheme_options {'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 2.0 -E 0.0010 -P 0.1 -model E:\\workspace\\weka3.7','-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.0010 -P 0.1 -model E:\\workspace\\weka3.7','-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 3.0 -E 0.0010 -P 0.1 -model E:\\workspace\\weka3.7'}
@attribute Key_Scheme_version_ID {14172}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data
'test_1_new-weka.filters.unsupervised.attribute.Remove-R2-4,6-9,11-12,14-22,24,26-29,31-33,35-36-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last',1,10,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 2.0 -E 0.0010 -P 0.1 -model E:\\workspace\\weka3.7',14172,20091019.074,899,99,75,24,0,75.757576,24.242424,0,0.730673,0.048485,0.220193,26.936326,73.398356,328.857316,25776,-25447.142684,3.321791,260.363636,-257.041845,245.46009,2.479395,7389.1025,0.4,4,0.022472,2,0.977528,87,0.6,6,0.666667,0.4,0.5,0.688764,0.757576,0.02649,0.97351,0.242424,0.7808,0.757576,0.75787,0.865543,0.755291,0.757576,0.312,0.016,0.3125,0.015625,153352,106042,18842,?
'test_1_new-weka.filters.unsupervised.attribute.Remove-R2-4,6-9,11-12,14-22,24,26-29,31-33,35-36-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last',2,1,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 2.0 -E 0.0010 -P 0.1 -model E:\\workspace\\weka3.7',14172,20091019.074,898,100,80,20,0,80,20,0,0.777778,0.04,0.2,22.222222,66.666505,332.195997,21480,-21147.804003,3.32196,214.8,-211.47804,262.631126,2.626311,7906.060089,0.6,6,0.077778,7,0.922222,83,0.4,4,0.461538,0.6,0.521739,0.761111,0.8,0.022222,0.977778,0.2,0.81954,0.8,0.803227,0.888889,0.803227,0.8,0.313,0.015,0.28125,0.015625,152756,105933,18951,?
'test_1_new-weka.filters.unsupervised.attribute.Remove-R2-4,6-9,11-12,14-22,24,26-29,31-33,35-36-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last',2,2,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 2.0 -E 0.0010 -P 0.1 -model E:\\workspace\\weka3.7',14172,20091019.074,898,100,80,20,0,80,20,0,0.777778,0.04,0.2,22.222222,66.666505,332.195997,21480,-21147.804003,3.32196,214.8,-211.47804,262.65966,2.626597,7906.919051,0.7,7,0.022222,2,0.977778,88,0.3,3,0.777778,0.7,0.736842,0.838889,0.8,0.022222,0.977778,0.2,0.804672,0.8,0.798922,0.888889,0.798922,0.8,0.297,0.016,0.28125,0.015625,149392,105933,18951,?
'test_1_new-weka.filters.unsupervised.attribute.Remove-R2-4,6-9,11-12,14-22,24,26-29,31-33,35-36-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last',2,3,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 2.0 -E 0.0010 -P 0.1 -model E:\\workspace\\weka3.7',14172,20091019.074,898,100,84,16,0,84,16,0,0.822222,0.032,0.178885,17.777778,59.628335,332.195997,17184,-16851.804003,3.32196,171.84,-168.51804,276.601168,2.766012,8326.604261,0.9,9,0.033333,3,0.966667,87,0.1,1,0.75,0.9,0.818182,0.933333,0.84,0.017778,0.982222,0.16,0.846578,0.84,0.837315,0.911111,0.837315,0.84,0.313,0.015,0.296875,0.015625,150098,105933,18951,?
'test_1_new-weka.filters.unsupervised.attribute.Remove-R2-4,6-9,11-12,14-22,24,26-29,31-33,35-36-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last',2,4,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 2.0 -E 0.0010 -P 0.1 -model E:\\workspace\\weka3.7',14172,20091019.074,898,100,82,18,0,82,18,0,0.8,0.036,0.189737,20,63.2454,332.195997,19332,-18999.804003,3.32196,193.32,-189.99804,269.544813,2.695448,8114.184769,0.6,6,0.011111,1,0.988889,89,0.4,4,0.857143,0.6,0.705882,0.794444,0.82,0.02,0.98,0.18,0.83114,0.82,0.816608,0.9,0.816608,0.82,0.422,0.016,0.3125,0.015625,153650,105933,18951,?
'test_1_new-weka.filters.unsupervised.attribute.Remove-R2-4,6-9,11-12,14-22,24,26-29,31-33,35-36-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last',2,5,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 2.0 -E 0.0010 -P 0.1 -model E:\\workspace\\weka3.7',14172,20091019.0741,898,100,84,16,0,84,16,0,0.822222,0.032,0.178885,17.777778,59.628335,332.195997,17184,-16851.804003,3.32196,171.84,-168.51804,276.5441,2.765441,8324.886337,0.8,8,0.022222,2,0.977778,88,0.2,2,0.8,0.8,0.8,0.888889,0.84,0.017778,0.982222,0.16,0.847172,0.84,0.838521,0.911111,0.838521,0.84,0.297,0.016,0.296875,0.015625,153796,105933,18951,?
'test_1_new-weka.filters.unsupervised.attribute.Remove-R2-4,6-9,11-12,14-22,24,26-29,31-33,35-36-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last',2,6,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 2.0 -E 0.0010 -P 0.1 -model E:\\workspace\\weka3.7',14172,20091019.0741,898,100,82,18,0,82,18,0,0.8,0.036,0.189737,20,63.2454,332.195997,19332,-18999.804003,3.32196,193.32,-189.99804,269.60188,2.696019,8115.902694,0.6,6,0.044444,4,0.955556,86,0.4,4,0.6,0.6,0.6,0.777778,0.82,0.02,0.98,0.18,0.823561,0.82,0.819033,0.9,0.819033,0.82,0.296,0.032,0.28125,0.03125,152700,105933,18951,?
'test_1_new-weka.filters.unsupervised.attribute.Remove-R2-4,6-9,11-12,14-22,24,26-29,31-33,35-36-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last',2,7,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 2.0 -E 0.0010 -P 0.1 -model E:\\workspace\\weka3.7',14172,20091019.0741,898,100,85,15,0,85,15,0,0.833333,0.03,0.173205,16.666667,57.734887,332.195997,16110,-15777.804003,3.32196,161.1,-157.77804,280.072278,2.800723,8431.096083,0.7,7,0,0,1,90,0.3,3,1,0.7,0.823529,0.85,0.85,0.016667,0.983333,0.15,0.864444,0.85,0.851874,0.916667,0.851874,0.85,0.297,0.015,0.296875,0.015625,153470,105933,18951,?
'test_1_new-weka.filters.unsupervised.attribute.Remove-R2-4,6-9,11-12,14-22,24,26-29,31-33,35-36-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last',2,8,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 2.0 -E 0.0010 -P 0.1 -model E:\\workspace\\weka3.7',14172,20091019.0741,898,100,80,20,0,80,20,0,0.777778,0.04,0.2,22.222222,66.666505,332.195997,21480,-21147.804003,3.32196,214.8,-211.47804,262.65966,2.626597,7906.919051,0.5,5,0.011111,1,0.988889,89,0.5,5,0.833333,0.5,0.625,0.744444,0.8,0.022222,0.977778,0.2,0.82,0.8,0.800499,0.888889,0.800499,0.8,0.281,0.016,0.265625,0.015625,150368,105933,18951,?
'test_1_new-weka.filters.unsupervised.attribute.Remove-R2-4,6-9,11-12,14-22,24,26-29,31-33,35-36-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-last',2,9,weka.classifiers.functions.LibSVM,'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 2.0 -E 0.0010 -P 0.1 -model E:\\workspace\\weka3.7',14172,20091019.0741,899,99,80,19,0,80.808081,19.191919,0,0.786807,0.038384,0.195918,21.324592,65.306665,328.857316,20406,-20077.142684,3.321791,206.121212,-202.799421,262.836875,2.654918,7912.197104,0.6,6,0.011236,1,0.988764,88,0.4,4,0.857143,0.6,0.705882,0.794382,0.808081,0.020815,0.979185,0.191919,0.820281,0.808081,0.808034,0.893633,0.805668,0.808081,0.297,0.016,0.28125,0.015625,155206,106042,18842,?
