@attribute Summary string
@attribute measureExtraArcs numeric
@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric

@data

sbir_new-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,10,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20090919.1318,652,0,0,0,0,?,?,?,1,?,?,?,?,0,0,0,?,?,?,0,?,0,0,0,0,0,0,0,0,0,0,0,0,?,0.016,0,0.015625,0,336643,235065,17860,?,0,0,0,0,-29581.500089,-64026.413363,-54974.190045,-41325.734287,-35232.734287
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20090919.1318,1137,0,0,0,0,?,?,?,1,?,?,?,?,0,0,0,?,?,?,0,?,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,483682,387498,17884,?,0,0,0,0,-55826.807309,-84971.179958,-78320.831624,-64196.953174,-58587.953174
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,2,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20090919.1318,1137,0,0,0,0,?,?,?,1,?,?,?,?,0,0,0,?,?,?,0,?,0,0,0,0,0,0,0,0,0,0,0,0,?,0.016,0,0.015625,0,483682,387498,17884,?,0,0,0,0,-55826.807309,-84971.179958,-78320.831624,-64196.953174,-58587.953174
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,3,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20090919.1318,1137,0,0,0,0,?,?,?,1,?,?,?,?,0,0,0,?,?,?,0,?,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,483682,387498,17884,?,0,0,0,0,-55826.807309,-84971.179958,-78320.831624,-64196.953174,-58587.953174
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,4,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20090919.1318,1137,0,0,0,0,?,?,?,1,?,?,?,?,0,0,0,?,?,?,0,?,0,0,0,0,0,0,0,0,0,0,0,0,?,0.016,0,0.015625,0,483682,387498,17884,?,0,0,0,0,-55826.807309,-84971.179958,-78320.831624,-64196.953174,-58587.953174
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,5,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20090919.1318,1137,0,0,0,0,?,?,?,1,?,?,?,?,0,0,0,?,?,?,0,?,0,0,0,0,0,0,0,0,0,0,0,0,?,0.015,0,0.015625,0,483682,387498,17884,?,0,0,0,0,-55826.807309,-84971.179958,-78320.831624,-64196.953174,-58587.953174
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,6,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20090919.1318,1137,0,0,0,0,?,?,?,1,?,?,?,?,0,0,0,?,?,?,0,?,0,0,0,0,0,0,0,0,0,0,0,0,?,0.015,0,0.015625,0,483682,387498,17884,?,0,0,0,0,-55826.807309,-84971.179958,-78320.831624,-64196.953174,-58587.953174
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,7,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20090919.1318,1137,0,0,0,0,?,?,?,1,?,?,?,?,0,0,0,?,?,?,0,?,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,483682,387498,17884,?,0,0,0,0,-55826.807309,-84971.179958,-78320.831624,-64196.953174,-58587.953174
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,8,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20090919.1318,1137,0,0,0,0,?,?,?,1,?,?,?,?,0,0,0,?,?,?,0,?,0,0,0,0,0,0,0,0,0,0,0,0,?,0.015,0,0.015625,0,483682,387498,17884,?,0,0,0,0,-55826.807309,-84971.179958,-78320.831624,-64196.953174,-58587.953174
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,9,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20090919.1318,1137,0,0,0,0,?,?,?,1,?,?,?,?,0,0,0,?,?,?,0,?,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0,0,483682,387498,17884,?,0,0,0,0,-55826.807309,-84971.179958,-78320.831624,-64196.953174,-58587.953174
sbir_bayes-weka.filters.unsupervised.attribute.Discretize-O-B10-M-1.0-Rfirst-last,10,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,20090919.1318,1137,0,0,0,0,?,?,?,1,?,?,?,?,0,0,0,?,?,?,0,?,0,0,0,0,0,0,0,0,0,0,0,0,?,0.015,0,0.015625,0,483682,387498,17884,?,0,0,0,0,-55826.807309,-84971.179958,-78320.831624,-64196.953174,-58587.953174
