Tester:     weka.experiment.PairedCorrectedTTester
Analysing:  Percent_correct
Datasets:   2
Resultsets: 6
Confidence: 0.05 (two tailed)
Sorted by:  -
Date:       09-9-20 ÏÂÎç2:28


Dataset,[6],[1],'',[2],'',[3],'',[4],'',[5],''
sbir_bayes-weka.filters.u,66.40,47.06,*,53.94,*,61.23,*,60.46,*,72.15,v
sbir_new-weka.filters.uns,70.31,53.00,*,57.04,*,65.31,*,61.48,*,71.18,' '
Average,68.36,50.03,'',55.49,'',63.27,'',60.97,'',71.66,''
'[v/ /*]','','',[0/0/2],'',[0/0/2],'',[0/0/2],'',[0/0/2],'',[1/1/0]


Key,
[1],'trees.J48 \'-C 0.25 -M 2\' -217733168393644444'
[2],'misc.OLM \'-S 1 -C REG -A MEAN -N EUCL -E MIN\' 3722951802290935192'
[3],'meta.ClassificationViaRegression \'-W trees.M5P -- -M 4.0\' 4500023123618669859'
[4],'lazy.LBR \'\' 5648559277738985156'
[5],'functions.LibSVM \'-S 0 -K 2 -D 3 -G 0.0 -R 0.0 -N 0.5 -M 40.0 -C 1.0 -E 0.0010 -P 0.1\' 14172'
[6],'bayes.HNB \'\' -4503874444306113214'

